,Proporciones Generales,Resd Pública,Otro
0,Aconchi,72.87917737789203,0.5141388174807198
1,Agua Prieta,93.34442595673876,0.9983361064891847
2,Álamos,54.87106017191977,36.62374821173104
3,Altar,85.94339622641509,2.9245283018867925
4,Arivechi,66.40826873385012,1.2886597938144329
5,Arizpe,82.0675105485232,1.8967334035827188
6,Atil,97.35449735449735,0.5291005291005291
7,Bacadéhuachi,99.71014492753623,1.7391304347826086
8,Bacanora,79.91967871485943,1.6064257028112447
9,Bacerac,78.2016348773842,8.174386920980927
10,Bacoachi,84.76953907815631,0.0
11,Bácum,93.59886201991465,16.073968705547653
12,Banámichi,98.28897338403041,0.5692599620493358
13,Baviácora,79.12621359223301,1.5533980582524272
14,Bavispe,87.79220779220779,1.2987012987012987
15,Benjamín Hill,97.54768392370572,1.4965986394557822
16,Caborca,87.71488469601677,8.385744234800839
17,Cajeme,98.93031784841075,1.1613691931540342
18,Cananea,88.85367142102483,0.6339144215530903
19,Carbó,90.7862407862408,2.8255528255528257
20,La Colorada,42.835595776772244,5.271084337349398
21,Cucurpe,68.81028938906752,3.858520900321544
22,Cumpas,98.66017052375152,1.5834348355663823
23,Divisaderos,99.57983193277312,0.42016806722689076
24,Empalme,93.85915492957746,5.352112676056338
25,Etchojoa,97.84830554061324,47.76761699838623
26,Fronteras,92.90598290598291,1.7094017094017095
27,Granados,99.70588235294117,0.29411764705882354
28,Guaymas,93.08323563892145,16.1328125
29,Hermosillo,98.6484312148029,7.3186424320411785
30,Huachinera,95.56135770234987,4.43864229765013
31,Huásabas,99.66329966329967,1.0101010101010102
32,Huatabampo,97.36611062335382,9.920983318700614
33,Huépac,99.07692307692308,0.6153846153846154
34,Imuris,95.31531531531532,1.70863309352518
35,Magdalena,98.22954822954823,1.3431013431013432
36,Mazatán,97.15025906735751,1.8134715025906734
37,Moctezuma,98.79372738238843,0.0
38,Naco,93.14345991561181,1.8947368421052633
39,Nácori Chico,95.59118236472945,17.034068136272545
40,Nacozari de García,98.30638953040801,1.308698999230177
41,Navojoa,99.23479661699557,15.384615384615385
42,Nogales,90.17832647462278,0.30071077091306725
43,Ónavas,96.3302752293578,0.9174311926605505
44,Opodepe,88.53092783505154,7.603092783505154
45,Oquitoa,94.8051948051948,1.2987012987012987
46,Pitiquito,93.7561942517344,4.955401387512389
47,Puerto Peñasco,98.76900796524257,0.8689355539464156
48,Quiriego,79.95110024449878,20.048899755501225
49,Rayón,91.01123595505618,2.8089887640449436
50,Rosario,75.12254901960785,14.093137254901961
51,Sahuaripa,79.93348115299335,6.319290465631928
52,San Felipe de Jesús,98.38709677419355,0.8064516129032258
53,San Javier,53.333333333333336,1.3333333333333335
54,San Luis Río Colorado,98.00747198007473,5.3112033195020745
55,San Miguel de Horcasitas,95.74652777777779,9.027777777777777
56,San Pedro de la Cueva,90.9090909090909,3.896103896103896
57,Santa Ana,98.06501547987617,2.476780185758514
58,Santa Cruz,60.30534351145038,1.9083969465648856
59,Sáric,75.98684210526315,3.776683087027915
60,Soyopa,83.56481481481481,5.747126436781609
61,Suaqui Grande,92.79538904899135,1.1527377521613833
62,Tepache,96.44670050761421,0.7614213197969544
63,Trincheras,90.34334763948499,5.150214592274678
64,Tubutama,51.483050847457626,2.754237288135593
65,Ures,82.92237442922374,1.643835616438356
66,Villa Hidalgo,90.94650205761316,1.8518518518518516
67,Villa Pesqueira,92.77777777777779,3.6111111111111107
68,Yécora,81.55940594059405,29.666254635352285
69,General Plutarco Elías Calles,88.96925858951175,2.8933092224231465
70,Benito Juárez,98.34107498341075,15.79296615792966
71,San Ignacio Río Muerto,82.46597277822258,35.04
