,Proporciones Generales,Sanitario Propio,Otro
0,Aconchi,98.9821882951654,1.0178117048346056
1,Agua Prieta,98.3633387888707,1.6366612111292964
2,Álamos,59.08790482485129,40.91209517514871
3,Altar,96.47168059424327,3.5283194057567315
4,Arivechi,98.45758354755783,1.5424164524421593
5,Arizpe,97.80564263322884,2.19435736677116
6,Atil,98.42931937172776,1.5706806282722512
7,Bacadéhuachi,98.26589595375722,1.7341040462427744
8,Bacanora,98.00796812749005,1.9920318725099602
9,Bacerac,91.08108108108108,8.91891891891892
10,Bacoachi,99.60079840319361,0.39920159680638717
11,Bácum,82.93706293706293,17.062937062937063
12,Banámichi,99.05482041587902,0.945179584120983
13,Baviácora,98.25750242013552,1.7424975798644726
14,Bavispe,98.44961240310077,1.550387596899225
15,Benjamín Hill,97.98657718120806,2.013422818791946
16,Caborca,91.21061359867329,8.7893864013267
17,Cajeme,98.39466908980766,1.6053309101923368
18,Cananea,99.21011058451816,0.7898894154818324
19,Carbó,96.71132764920827,3.2886723507917175
20,La Colorada,94.31988041853513,5.680119581464873
21,Cucurpe,95.54140127388536,4.45859872611465
22,Cumpas,98.30097087378641,1.6990291262135921
23,Divisaderos,99.57983193277312,0.42016806722689076
24,Empalme,94.03567447045708,5.964325529542921
25,Etchojoa,51.284740429994756,48.715259570005244
26,Fronteras,98.29931972789116,1.7006802721088436
27,Granados,99.70588235294117,0.29411764705882354
28,Guaymas,82.58534714230916,17.414652857690832
29,Hermosillo,92.37653827712961,7.623461722870386
30,Huachinera,94.3298969072165,5.670103092783505
31,Huásabas,98.99328859060402,1.006711409395973
32,Huatabampo,89.14261094355881,10.857389056441189
33,Huépac,99.38461538461539,0.6153846153846154
34,Imuris,98.03746654772524,1.9625334522747548
35,Magdalena,98.00242130750605,1.9975786924939467
36,Mazatán,96.46464646464646,3.535353535353535
37,Moctezuma,99.87951807228916,0.12048192771084339
38,Naco,97.40932642487047,2.5906735751295336
39,Nácori Chico,83.0,17.0
40,Nacozari de García,98.39939024390245,1.600609756097561
41,Navojoa,83.61693707954096,16.383062920459043
42,Nogales,99.02272172000977,0.9772782799902272
43,Ónavas,99.08256880733946,0.9174311926605505
44,Opodepe,90.9433962264151,9.056603773584905
45,Oquitoa,98.06451612903226,1.935483870967742
46,Pitiquito,93.24452901998097,6.755470980019029
47,Puerto Peñasco,98.7152034261242,1.284796573875803
48,Quiriego,72.89416846652269,27.10583153347732
49,Rayón,96.6542750929368,3.3457249070631967
50,Rosario,85.00604594921403,14.993954050785973
51,Sahuaripa,93.27453142227122,6.725468577728775
52,San Felipe de Jesús,99.19354838709677,0.8064516129032258
53,San Javier,98.69281045751634,1.3071895424836601
54,San Luis Río Colorado,94.0813810110974,5.9186189889025895
55,San Miguel de Horcasitas,90.89332176929749,9.106678230702515
56,San Pedro de la Cueva,95.05494505494505,4.945054945054945
57,Santa Ana,97.15384615384616,2.8461538461538463
58,Santa Cruz,97.36842105263158,2.631578947368421
59,Sáric,95.4983922829582,4.501607717041801
60,Soyopa,93.31848552338529,6.6815144766147
61,Suaqui Grande,98.85057471264368,1.1494252873563218
62,Tepache,99.23857868020305,0.7614213197969544
63,Trincheras,94.29175475687104,5.708245243128964
64,Tubutama,96.25779625779626,3.7422037422037424
65,Ures,97.91477787851315,2.085222121486854
66,Villa Hidalgo,97.36842105263158,2.631578947368421
67,Villa Pesqueira,94.3089430894309,5.691056910569105
68,Yécora,66.74391657010429,33.25608342989571
69,General Plutarco Elías Calles,95.76345984112974,4.236540158870256
70,Benito Juárez,83.70418848167539,16.29581151832461
71,San Ignacio Río Muerto,62.28782287822878,37.71217712177122
