,Proporciones por Grupos,<12,>64,Indigena
0,Aconchi,33.842239185750635,31.679389312977097,5.7251908396946565
1,Agua Prieta,43.04418985270049,16.475722858701584,14.784506273867976
2,Álamos,26.04097818902842,16.39127561136814,23.06675479180436
3,Altar,46.05385329619313,18.662952646239557,11.792014856081709
4,Arivechi,32.390745501285345,33.933161953727506,27.506426735218508
5,Arizpe,29.258098223615463,36.57262277951933,3.761755485893417
6,Atil,29.84293193717277,41.8848167539267,1.5706806282722512
7,Bacadéhuachi,27.167630057803464,38.72832369942196,4.046242774566474
8,Bacanora,29.08366533864542,44.6215139442231,19.12350597609562
9,Bacerac,35.4054054054054,27.027027027027028,14.054054054054054
10,Bacoachi,28.74251497005988,34.13173652694611,2.3952095808383236
11,Bácum,33.77622377622377,26.36363636363636,18.67132867132867
12,Banámichi,36.48393194706994,33.0812854442344,0.3780718336483932
13,Baviácora,31.55856727976767,36.689254598257506,0.48402710551790895
14,Bavispe,35.917312661498705,32.81653746770026,10.335917312661499
15,Benjamín Hill,39.06040268456376,29.93288590604027,8.187919463087248
16,Caborca,40.13266998341625,16.791044776119403,11.898839137645108
17,Cajeme,37.72527638951991,21.384219294260184,11.691655308193246
18,Cananea,45.65560821484992,19.010005265929436,7.9515534491837805
19,Carbó,43.11814859926918,22.53349573690621,8.038976857490866
20,La Colorada,26.606875934230196,29.446935724962632,6.726457399103139
21,Cucurpe,26.11464968152866,28.343949044585987,0.3184713375796179
22,Cumpas,35.67961165048544,31.31067961165049,0.8495145631067961
23,Divisaderos,34.45378151260504,39.49579831932773,1.680672268907563
24,Empalme,39.79933110367893,23.411371237458194,10.535117056856187
25,Etchojoa,21.65705296276875,16.360776088096486,42.52753015207132
26,Fronteras,46.1734693877551,19.472789115646258,7.993197278911565
27,Granados,31.470588235294116,34.705882352941174,1.4705882352941175
28,Guaymas,31.338703490602228,18.642117376294593,12.236286919831224
29,Hermosillo,39.140163017420484,18.395397155186192,12.977465238932396
30,Huachinera,32.98969072164948,31.185567010309278,16.237113402061855
31,Huásabas,27.516778523489933,37.58389261744966,19.798657718120804
32,Huatabampo,35.50193881947437,26.281775096940972,60.36191296854804
33,Huépac,29.53846153846154,40.0,4.0
34,Imuris,42.19446922390723,23.1935771632471,16.32471008028546
35,Magdalena,39.346246973365616,21.004842615012105,16.101694915254235
36,Mazatán,24.494949494949495,38.38383838383838,4.797979797979798
37,Moctezuma,32.65060240963855,25.060240963855424,2.289156626506024
38,Naco,42.487046632124354,20.414507772020727,8.911917098445596
39,Nácori Chico,27.6,33.6,15.0
40,Nacozari de García,44.207317073170735,17.60670731707317,13.185975609756099
41,Navojoa,33.3201424614167,22.2398100514444,33.4784329244163
42,Nogales,43.855362814561445,14.70803811385292,8.3801612509162
43,Ónavas,33.94495412844037,44.03669724770643,42.201834862385326
44,Opodepe,28.553459119496853,34.088050314465406,27.169811320754718
45,Oquitoa,34.193548387096776,37.41935483870968,2.5806451612903225
46,Pitiquito,40.24738344433872,21.31303520456708,16.65080875356803
47,Puerto Peñasco,41.97002141327623,14.204139900071377,10.34975017844397
48,Quiriego,26.34989200863931,27.861771058315334,48.81209503239741
49,Rayón,27.323420074349443,39.96282527881041,9.293680297397769
50,Rosario,34.46191051995163,32.406287787182585,15.4776299879081
51,Sahuaripa,31.75303197353914,31.091510474090406,10.363836824696802
52,San Felipe de Jesús,38.70967741935484,38.70967741935484,4.838709677419355
53,San Javier,49.673202614379086,22.875816993464053,13.725490196078432
54,San Luis Río Colorado,35.59391697492808,18.865598027127003,4.767776407727086
55,San Miguel de Horcasitas,44.232437120555076,13.096270598438856,40.58976582827407
56,San Pedro de la Cueva,24.90842490842491,39.010989010989015,6.95970695970696
57,Santa Ana,39.0,25.538461538461537,1.0
58,Santa Cruz,43.984962406015036,21.804511278195488,7.142857142857142
59,Sáric,38.263665594855304,28.135048231511256,13.02250803858521
60,Soyopa,31.625835189309576,33.630289532293986,5.79064587973274
61,Suaqui Grande,31.60919540229885,37.93103448275862,0.8620689655172413
62,Tepache,26.14213197969543,42.38578680203046,10.152284263959391
63,Trincheras,35.30655391120507,28.541226215644823,1.0570824524312896
64,Tubutama,30.14553014553015,33.471933471933475,3.9501039501039505
65,Ures,28.286491387126024,37.44333635539438,4.986400725294652
66,Villa Hidalgo,33.198380566801625,34.81781376518219,5.870445344129554
67,Villa Pesqueira,20.32520325203252,39.83739837398374,1.6260162601626018
68,Yécora,26.30359212050985,19.46697566628042,13.20973348783314
69,General Plutarco Elías Calles,47.484554280670785,17.740511915269195,7.149161518093557
70,Benito Juárez,36.19109947643979,24.410994764397905,44.43717277486911
71,San Ignacio Río Muerto,27.084870848708487,16.014760147601475,16.531365313653136
