,Proporciones por Grupos,<12,>64,Indigena
0,Aconchi,24.55470737913486,25.572519083969464,4.198473282442748
1,Agua Prieta,40.58919803600654,13.202400436442991,13.36606655755592
2,Álamos,18.902842035690682,10.178453403833442,10.046265697290153
3,Altar,36.397400185701024,16.527390900649955,10.492107706592387
4,Arivechi,24.93573264781491,27.249357326478147,22.87917737789203
5,Arizpe,21.9435736677116,24.973876698014628,0.41797283176593525
6,Atil,29.31937172774869,40.31413612565445,1.5706806282722512
7,Bacadéhuachi,19.942196531791907,29.190751445086704,1.7341040462427744
8,Bacanora,26.693227091633464,31.872509960159363,13.545816733067728
9,Bacerac,18.91891891891892,13.783783783783784,4.324324324324325
10,Bacoachi,16.367265469061877,18.7624750499002,1.1976047904191618
11,Bácum,32.51748251748251,25.314685314685313,17.902097902097903
12,Banámichi,32.32514177693761,31.190926275992435,0.3780718336483932
13,Baviácora,18.586640851887708,23.039690222652467,0.0968054211035818
14,Bavispe,9.560723514211885,9.30232558139535,2.0671834625323
15,Benjamín Hill,38.38926174496644,29.261744966442954,8.053691275167784
16,Caborca,35.32338308457712,14.718076285240464,9.369817578772803
17,Cajeme,37.513251552324704,21.15704982583674,11.50991973345449
18,Cananea,40.7056345444971,16.482359136387572,6.6350710900473935
19,Carbó,39.2204628501827,20.95006090133983,7.064555420219245
20,La Colorada,20.029895366218238,21.973094170403588,4.783258594917788
21,Cucurpe,20.70063694267516,15.92356687898089,0.0
22,Cumpas,29.247572815533978,26.941747572815533,0.7281553398058253
23,Divisaderos,34.03361344537815,39.49579831932773,1.680672268907563
24,Empalme,35.172798216276476,21.627647714604237,10.089186176142698
25,Etchojoa,15.207131620346093,12.480335605663345,30.62401678028317
26,Fronteras,44.047619047619044,17.687074829931973,7.653061224489796
27,Granados,30.88235294117647,34.411764705882355,1.4705882352941175
28,Guaymas,30.37974683544304,17.376294591484466,12.888377445339472
29,Hermosillo,35.294117647058826,16.783887468030688,11.492966751918159
30,Huachinera,17.2680412371134,20.36082474226804,9.02061855670103
31,Huásabas,26.51006711409396,34.899328859060404,17.114093959731544
32,Huatabampo,30.97802671262387,22.878069797501077,50.75398535114175
33,Huépac,28.000000000000004,38.46153846153847,3.6923076923076925
34,Imuris,20.428189116859947,9.099018733273862,6.95807314897413
35,Magdalena,37.409200968523,20.09685230024213,14.588377723970943
36,Mazatán,24.242424242424242,37.62626262626262,4.292929292929292
37,Moctezuma,30.72289156626506,22.650602409638555,2.1686746987951806
38,Naco,39.067357512953365,18.65284974093264,7.772020725388601
39,Nácori Chico,19.400000000000002,23.799999999999997,13.4
40,Nacozari de García,43.67378048780488,16.996951219512198,12.88109756097561
41,Navojoa,31.10407597942224,21.13177681044717,30.708349821923232
42,Nogales,39.59912001955512,12.833048154485455,7.55316548521144
43,Ónavas,25.688073394495415,34.862385321100916,36.69724770642202
44,Opodepe,22.767295597484278,25.78616352201258,21.38364779874214
45,Oquitoa,32.25806451612903,37.41935483870968,1.935483870967742
46,Pitiquito,32.921027592768795,18.553758325404377,9.229305423406279
47,Puerto Peñasco,31.40613847251963,11.563169164882227,6.4953604568165595
48,Quiriego,20.41036717062635,20.302375809935207,35.96112311015119
49,Rayón,25.092936802973973,37.174721189591075,7.992565055762081
50,Rosario,25.997581620314392,24.062877871825876,13.54292623941959
51,Sahuaripa,25.938189845474614,26.269315673289185,8.388520971302428
52,San Felipe de Jesús,37.903225806451616,37.096774193548384,4.838709677419355
53,San Javier,43.13725490196079,20.26143790849673,11.11111111111111
54,San Luis Río Colorado,25.740131578947366,14.597039473684212,2.631578947368421
55,San Miguel de Horcasitas,41.63052905464007,10.49436253252385,39.6357328707719
56,San Pedro de la Cueva,18.13186813186813,28.388278388278387,4.395604395604396
57,Santa Ana,34.46153846153846,21.384615384615387,0.8461538461538461
58,Santa Cruz,17.857142857142858,10.338345864661653,2.819548872180451
59,Sáric,31.832797427652732,23.95498392282958,9.32475884244373
60,Soyopa,9.35412026726058,9.57683741648107,2.2271714922048997
61,Suaqui Grande,29.310344827586203,35.91954022988506,0.8620689655172413
62,Tepache,23.85786802030457,39.847715736040605,9.644670050761421
63,Trincheras,22.832980972515855,18.181818181818183,0.6342494714587738
64,Tubutama,5.197505197505198,8.108108108108109,0.2079002079002079
65,Ures,26.473254759746144,33.27289211242067,3.626473254759746
66,Villa Hidalgo,25.101214574898783,28.13765182186235,4.65587044534413
67,Villa Pesqueira,18.428184281842817,37.12737127371274,1.084010840108401
68,Yécora,18.88760139049826,9.617612977983777,9.617612977983777
69,General Plutarco Elías Calles,29.74404236540159,12.268314210061783,5.119152691968226
70,Benito Juárez,27.748691099476442,19.76439790575916,29.64659685863874
71,San Ignacio Río Muerto,21.99261992619926,13.062730627306273,9.815498154981551
