,Proporciones Generales,1,2,3,4,5
0,Aconchi,75.57251908396947,23.02798982188295,0.2544529262086514,0.0,1.1450381679389312
1,Agua Prieta,89.03436988543372,10.147299509001636,0.10911074740861974,0.0,0.7092198581560284
2,Álamos,41.969596827495046,32.980832782551225,0.19828155981493722,0.0,24.851288830138795
3,Altar,78.45868152274838,18.94150417827298,0.09285051067780872,0.09285051067780872,2.414113277623027
4,Arivechi,78.40616966580977,13.367609254498714,6.940874035989718,0.2570694087403599,1.0282776349614395
5,Arizpe,70.9508881922675,26.750261233019856,0.522466039707419,0.0,1.7763845350052248
6,Atil,94.76439790575915,4.18848167539267,0.0,0.0,1.0471204188481675
7,Bacadéhuachi,72.54335260115607,26.300578034682083,0.0,0.0,1.1560693641618496
8,Bacanora,75.69721115537848,20.717131474103585,0.796812749003984,0.796812749003984,1.9920318725099602
9,Bacerac,47.83783783783784,43.513513513513516,0.0,0.0,8.64864864864865
10,Bacoachi,54.49101796407185,44.91017964071856,0.19960079840319359,0.0,0.39920159680638717
11,Bácum,79.79020979020979,7.6223776223776225,0.06993006993006994,0.13986013986013987,12.377622377622377
12,Banámichi,90.35916824196597,8.506616257088846,0.3780718336483932,0.0,0.7561436672967864
13,Baviácora,61.181026137463704,37.07647628267183,0.0968054211035818,0.0,1.6456921587608906
14,Bavispe,25.581395348837212,72.3514211886305,0.0,0.0,2.0671834625323
15,Benjamín Hill,95.70469798657719,2.684563758389262,0.0,0.0,1.6107382550335572
16,Caborca,80.4726368159204,13.4742951907131,0.04145936981757877,0.0,6.011608623548922
17,Cajeme,97.74344994699379,1.1358473421172195,0.045433893684688774,0.0,1.0752688172043012
18,Cananea,88.67825171142707,5.897840968931016,4.528699315429173,0.0526592943654555,0.842548709847288
19,Carbó,88.67235079171742,9.622411693057249,0.24360535931790497,0.12180267965895249,1.3398294762484775
20,La Colorada,65.17189835575485,30.792227204783256,1.046337817638266,0.14947683109118087,2.8400597907324365
21,Cucurpe,64.96815286624204,32.48407643312102,0.0,0.0,2.547770700636943
22,Cumpas,81.06796116504854,17.475728155339805,0.0,0.48543689320388345,0.9708737864077669
23,Divisaderos,98.31932773109243,1.680672268907563,0.0,0.0,0.0
24,Empalme,85.56298773690078,8.974358974358974,0.0,0.0,5.4626532887402455
25,Etchojoa,38.01782905086523,13.738856843209229,0.3146303093864709,0.05243838489774515,47.87624541164132
26,Fronteras,91.921768707483,6.377551020408164,0.0,0.0,1.7006802721088436
27,Granados,98.82352941176471,0.8823529411764706,0.0,0.0,0.29411764705882354
28,Guaymas,79.28653624856156,8.975834292289989,0.0,0.038358266206367474,11.69927119294208
29,Hermosillo,84.3190537084399,9.95843989769821,0.0,0.0,5.7225063938618925
30,Huachinera,52.0618556701031,40.72164948453608,0.25773195876288657,0.0,6.958762886597938
31,Huásabas,93.6241610738255,5.369127516778524,0.0,0.0,1.006711409395973
32,Huatabampo,78.11288237828522,14.562688496337787,0.0,0.08616975441619991,7.238259370960792
33,Huépac,95.07692307692308,4.923076923076923,0.0,0.0,0.0
34,Imuris,43.53256021409456,55.129348795718116,0.08920606601248886,0.0,1.2488849241748439
35,Magdalena,93.64406779661016,4.600484261501211,0.0,0.06053268765133172,1.694915254237288
36,Mazatán,93.93939393939394,3.0303030303030303,0.0,0.0,3.0303030303030303
37,Moctezuma,93.97590361445783,5.903614457831325,0.0,0.0,0.12048192771084339
38,Naco,90.36269430051813,7.66839378238342,0.10362694300518134,0.10362694300518134,1.7616580310880827
39,Nácori Chico,58.199999999999996,34.8,1.6,0.2,5.2
40,Nacozari de García,96.1890243902439,2.4390243902439024,0.1524390243902439,0.0,1.2195121951219512
41,Navojoa,79.38266719430155,5.856747130985358,0.0,0.0,14.760585674713097
42,Nogales,88.65802982155952,9.850892202395501,0.07333170373991689,0.0,1.4177462723050598
43,Ónavas,79.81651376146789,17.431192660550458,1.834862385321101,0.9174311926605505,0.0
44,Opodepe,68.17610062893081,25.660377358490567,0.12578616352201258,0.0,6.037735849056604
45,Oquitoa,93.54838709677419,4.516129032258064,0.0,0.0,1.935483870967742
46,Pitiquito,75.54709800190295,16.079923882017127,0.285442435775452,0.0,8.087535680304473
47,Puerto Peñasco,76.37401855817274,22.198429693076374,0.0,0.0,1.4275517487508922
48,Quiriego,53.99568034557235,17.278617710583152,3.995680345572354,0.10799136069114472,24.622030237580994
49,Rayón,88.10408921933085,7.434944237918216,0.5576208178438662,0.0,3.903345724907063
50,Rosario,65.17533252720678,23.70012091898428,2.539298669891173,0.12091898428053204,8.464328899637243
51,Sahuaripa,77.70419426048565,16.666666666666664,0.0,0.11037527593818984,5.518763796909492
52,San Felipe de Jesús,96.7741935483871,2.4193548387096775,0.0,0.0,0.8064516129032258
53,San Javier,83.00653594771242,14.37908496732026,1.3071895424836601,0.0,1.3071895424836601
54,San Luis Río Colorado,71.66940789473685,24.835526315789476,0.08223684210526315,0.041118421052631575,3.3717105263157894
55,San Miguel de Horcasitas,82.48048568950563,11.014744145706851,0.26019080659150046,0.0,6.2445793581960105
56,San Pedro de la Cueva,71.7948717948718,11.904761904761903,3.6630036630036633,5.677655677655678,6.95970695970696
57,Santa Ana,85.61538461538461,13.153846153846155,0.0,0.0,1.2307692307692308
58,Santa Cruz,41.72932330827068,56.390977443609025,0.0,0.0,1.8796992481203008
59,Sáric,76.04501607717042,18.006430868167204,1.2861736334405145,0.3215434083601286,4.340836012861737
60,Soyopa,28.28507795100223,62.1380846325167,4.008908685968819,0.4454342984409799,5.122494432071269
