,Proporciones Generales,1,2,3,4,5
0,Aconchi,79.72789115646258,17.27891156462585,0.8163265306122449,0.0,2.1768707482993195
1,Agua Prieta,78.35191732390537,20.560239325537122,0.054392167527875984,0.0,1.0334511830296438
2,Álamos,32.863526985218286,27.22585080783774,0.13750429700928155,0.0,39.77311790993468
3,Altar,76.26262626262627,19.40836940836941,0.0,0.0,4.329004329004329
4,Arivechi,88.18681318681318,6.593406593406594,0.27472527472527475,0.0,4.945054945054945
5,Arizpe,78.12128418549345,20.57074910820452,0.11890606420927466,0.0,1.1890606420927468
6,Atil,96.51162790697676,2.3255813953488373,0.0,0.0,1.1627906976744187
7,Bacadéhuachi,61.73913043478261,35.65217391304348,0.0,0.0,2.608695652173913
8,Bacanora,72.60869565217392,23.043478260869566,0.0,0.0,4.3478260869565215
9,Bacerac,36.0,50.5,0.0,0.0,13.5
10,Bacoachi,56.41025641025641,42.52136752136752,0.0,0.0,1.0683760683760684
11,Bácum,70.22666154437188,12.524010756819054,0.2689204763734153,0.1536688436419516,16.8267383787937
12,Banámichi,94.20289855072464,5.175983436853002,0.0,0.0,0.6211180124223602
13,Baviácora,56.405163853028796,41.906653426017876,0.19860973187686196,0.09930486593843098,1.3902681231380336
14,Bavispe,28.440366972477065,69.03669724770643,0.0,0.0,2.522935779816514
15,Benjamín Hill,91.07981220657277,4.31924882629108,0.0,0.09389671361502347,4.507042253521127
16,Caborca,71.18512780790086,19.390653240382132,0.0,0.0,9.424218951717016
17,Cajeme,87.28735329025452,7.384939997362522,0.553870499802189,0.2769352499010945,4.496900962679678
18,Cananea,92.80520474550326,2.104860313815538,4.171450440107156,0.15308075009567548,0.7654037504783774
19,Carbó,84.64476699770817,9.014514896867839,0.30557677616501144,0.15278838808250572,5.88235294117647
20,La Colorada,55.41490857946554,34.177215189873415,2.9535864978902953,0.0,7.454289732770746
21,Cucurpe,55.59105431309904,38.019169329073485,1.2779552715654952,0.0,5.111821086261981
22,Cumpas,66.33986928104575,31.372549019607842,0.0,0.0,2.287581699346405
23,Divisaderos,96.28099173553719,0.8264462809917356,0.0,0.0,2.8925619834710745
